task,feature_set,method,fold,group_a,group_b,centroid_distance,within_scatter,distance_within_ratio
binary_acl_vs_ha,pca_slim_subject,plsda,4,ACL,HA,2.952618748119058,2.3192380624605535,1.2730986076463968
binary_acl_vs_ha,pca_slim_subject,plsda,5,ACL,HA,4.136123742454281,2.1847751113421383,1.8931576623066717
binary_acl_vs_ha,pca_slim_subject,nca,1,ACL,HA,13.640313693388158,17.644771593451296,0.7730513042430451
binary_acl_vs_ha,pca_slim_subject,nca,2,ACL,HA,6.1833968593210535,5.559546092081045,1.1122125362228068
binary_acl_vs_ha,pca_slim_subject,nca,3,ACL,HA,0.6295968754668753,5.415399887820174,0.1162604587858613
binary_acl_vs_ha,pca_slim_subject,nca,4,ACL,HA,5.490034305013275,6.3288271559524425,0.8674647244631639
binary_acl_vs_ha,pca_slim_subject,nca,5,ACL,HA,8.048509321865675,5.241141885802792,1.5356404190597246
binary_acl_vs_ha,pca_slim_subject,rf_proba,1,ACL,HA,0.21130586550669986,0.17820566628905182,1.1857415642663074
binary_acl_vs_ha,pca_slim_subject,rf_proba,2,ACL,HA,0.2059976842265738,0.10268317005233082,2.0061484673836074
binary_acl_vs_ha,pca_slim_subject,rf_proba,3,ACL,HA,0.3027151616940588,0.14056284123995777,2.153593076404079
binary_acl_vs_ha,pca_slim_subject,rf_proba,4,ACL,HA,0.2151176341056807,0.13694512204195938,1.5708309350352003
binary_acl_vs_ha,pca_slim_subject,rf_proba,5,ACL,HA,0.20609972109746638,0.09796595215325696,2.103789291763796
binary_acl_vs_ha,pca_raw_subject,pca,1,ACL,HA,21.852651170310946,4.57407386944452,4.777502898737565
binary_acl_vs_ha,pca_raw_subject,pca,2,ACL,HA,15.374194745298011,6.214774292751777,2.473813854065266
binary_acl_vs_ha,pca_raw_subject,pca,3,ACL,HA,12.652222218954012,6.221131185942372,2.0337494646542265
binary_acl_vs_ha,pca_raw_subject,pca,4,ACL,HA,16.319950231483872,5.654033979935076,2.886425919865319
binary_acl_vs_ha,pca_raw_subject,pca,5,ACL,HA,19.456784380046965,5.168830090274499,3.7642530399008884
binary_acl_vs_ha,pca_raw_subject,lda,1,ACL,HA,18.034277991035633,11.996683586979668,1.5032719551433977
binary_acl_vs_ha,pca_raw_subject,lda,2,ACL,HA,9.835678199875643,9.689112512324154,1.0151268433889133
binary_acl_vs_ha,pca_raw_subject,lda,3,ACL,HA,20.049435825950525,9.942322147458157,2.0165747527177382
binary_acl_vs_ha,pca_raw_subject,lda,4,ACL,HA,15.517461472442925,13.041326117979484,1.189868371671935
binary_acl_vs_ha,pca_raw_subject,lda,5,ACL,HA,58.93439915954538,30.920081340617003,1.9060234192245937
binary_acl_vs_ha,pca_raw_subject,plsda,1,ACL,HA,21.041145948887774,4.472092296590781,4.704989198216707
binary_acl_vs_ha,pca_raw_subject,plsda,2,ACL,HA,15.208127817676884,5.532277996260557,2.7489811300076643
binary_acl_vs_ha,pca_raw_subject,plsda,3,ACL,HA,12.957311531022913,6.139524847792106,2.110474646206965
binary_acl_vs_ha,pca_raw_subject,plsda,4,ACL,HA,16.102542150920385,5.45129946731609,2.9538905810376184
binary_acl_vs_ha,pca_raw_subject,plsda,5,ACL,HA,19.344850526916822,5.0928392328667815,3.7984412313811684
binary_acl_vs_ha,pca_raw_subject,nca,1,ACL,HA,29.99072609174034,7.235532956823584,4.144922878619067
binary_acl_vs_ha,pca_raw_subject,nca,2,ACL,HA,16.488801651886106,6.1638125216077295,2.6750978544664226
binary_acl_vs_ha,pca_raw_subject,nca,3,ACL,HA,26.03289161528275,9.372071932651549,2.7777093264282615
binary_acl_vs_ha,pca_raw_subject,nca,4,ACL,HA,17.464867691824892,5.865627642117478,2.977493417144378
