feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__hip_adduction_024__min,-0.004533037087850294,0.0026497320405939875,-0.012809533848263051,0.010957167514843866,-0.0065174867876540196,0.00011122968506812526,0.022265484956060518,0.007314391444519079,-0.01474012463758833,-0.018662235059732833
slow__hip_adduction_024__max,0.004078176488164105,0.019984399891331887,-0.011453060298110556,0.0009245869366826934,-0.003968189274000635,0.0046763350344105736,0.010500659486401135,0.006366009085452184,0.0013001255443196677,-0.01885016237955469
slow__hip_adduction_025__mean,0.0011497786852347927,0.017081768234623748,-0.009909041921032861,-0.000745934439083902,-0.007716626482585922,0.007378226930353283,0.017477343503203773,0.009859764742365594,-0.0029044258217622836,-0.019586191209963435
slow__hip_adduction_025__std,0.010545728418712551,0.013634934109321364,-0.004184725238105269,0.0010392320874636686,-1.8625945764045447e-05,0.0052034393739101795,-0.013664388184355834,0.0003890051956400962,0.010945193851122222,-0.0060205071297800075
slow__hip_adduction_025__min,-0.004806852116220703,0.0036373082247519355,-0.01192053582954033,0.009583164304759483,-0.006843909802724221,0.0005414411045679782,0.0228607802030129,0.007519655229530233,-0.013833931261353564,-0.01858686446262018
slow__hip_adduction_025__max,0.004194970514658334,0.01990447235551126,-0.011118874660806901,0.0004802956666737126,-0.004012254469998206,0.005010621737228179,0.010565661326826169,0.005881074765605504,0.0007578187835886213,-0.01918231612583487
slow__hip_adduction_026__mean,0.0009549289252651598,0.017081204236608815,-0.00937641165480349,-0.001175672938531552,-0.007740718747599314,0.007431692811136942,0.01771090037930178,0.009677695039779147,-0.0031995449436294492,-0.019802650132602854
slow__hip_adduction_026__std,0.010918037703319824,0.0127574034273722,-0.004718253271179577,0.0013979187114675801,0.00015531960228495857,0.005505719510797781,-0.01394646602115181,0.00041967061409044237,0.009738904174379287,-0.0074310248145896835
slow__hip_adduction_026__min,-0.005108610072368852,0.004633083657774536,-0.011063256502659264,0.008154127681286377,-0.0071651033735406,0.0008132628953120117,0.023403964754607983,0.007717611494349924,-0.0129224386154843,-0.018244404239378613
slow__hip_adduction_026__max,0.004257756274708764,0.019822075148898135,-0.010787754858572602,6.53047066944496e-06,-0.003969451098024393,0.005237247175379811,0.010635008862612852,0.005335605206112608,0.0003281221022004045,-0.019504331490058167
slow__hip_adduction_027__mean,0.0007725162182991786,0.017074416975314397,-0.008880169582595314,-0.0015991183757883287,-0.007751642887682557,0.007345745092818403,0.01798148593842675,0.009441331147563695,-0.003445718151042194,-0.020049810452414264
slow__hip_adduction_027__std,0.011227782580391567,0.011973342457037829,-0.0051336953127300135,0.0015835532429110703,0.00039759150331968024,0.005811429209646625,-0.014057713362625304,0.0005051697406565608,0.00871480811128199,-0.008635440299992027
