feature_raw,feature_description,speed,side,statistic,source_column,feature_category,cycle_point,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__jointAngle_62__max,Left ankle dorsiflexion,slow,Left,max,jointAngle_62,joint angle,,0.13545308611452497,0.06017912681123663,-0.015180546675736534,0.02841258567586309,-0.011798585251610687,0.027735185807953804,0.011940923811416081,0.06141721422000547,-0.031010224107585676,-0.02535386565351214
normal__footContacts_0__mean,Foot contact signal 0,normal,,mean,footContacts_0,foot contact,,0.012581627141598625,0.005736133676455936,0.00571182723885843,0.07275017388278794,-0.07378015239874833,0.0682009398445817,-0.14994538729541873,-0.026837303650061022,0.07384412110574459,0.10755367869565437
normal__footContacts_0__std,Foot contact signal 0,normal,,std,footContacts_0,foot contact,,0.01221341812192134,0.014791127569036904,0.010614786893726642,0.04064323522205618,-0.06384762836654753,0.060416858194863865,-0.14459095001916464,-0.04929508944565506,0.03211885745203445,0.11482457631116226
normal__footContacts_1__mean,Foot contact signal 1,normal,,mean,footContacts_1,foot contact,,-0.006862541253276735,-0.03828501588585842,-0.022134334444247672,-0.1479928584831946,-0.05478314956316792,-0.04632130508757875,0.03314035151328144,-0.09447947379636576,0.10708596035043563,0.022254654743652194
normal__footContacts_1__std,Foot contact signal 1,normal,,std,footContacts_1,foot contact,,0.00543147051491112,-0.008514350097990933,0.007242846990389925,-0.11237051761339552,0.0004930358066215026,-0.06561699134423132,0.0480440398684416,-0.08120498229501964,0.05189822895213592,-0.0018465631983365064
normal__footContacts_2__mean,Foot contact signal 2,normal,,mean,footContacts_2,foot contact,,0.01667350509470277,-0.010977468628625475,0.006757518884868388,0.03634899823480779,-0.09482315235994838,0.13122773295864545,-0.10400761364432756,0.009286873564621075,0.09776662214639784,0.07502191426298746
normal__footContacts_2__std,Foot contact signal 2,normal,,std,footContacts_2,foot contact,,0.017454284891437997,-0.032471351498305455,0.024508419544315724,0.010226003440041178,-0.06318046951895127,0.14133708939819906,-0.07503066689789302,-0.005590866613994659,0.11160767707350502,0.06174497010931876
normal__footContacts_3__mean,Foot contact signal 3,normal,,mean,footContacts_3,foot contact,,0.004080882055443119,-0.021485063698805398,-0.015010761577267804,-0.12192812710367991,0.01615979698433388,-0.06388093122252089,0.026234007219277242,-0.04045253219398824,0.12050597276400135,0.020661588886748294
normal__footContacts_3__std,Foot contact signal 3,normal,,std,footContacts_3,foot contact,,0.008532166524808309,-0.025718347443480664,0.024506712328840902,-0.08353543440267643,0.07809991079189561,-0.05785179844867294,0.0461080791244819,-0.029819584066126108,0.09519985776889715,-0.024012893307625693
normal__jointAngle_42__mean,Right hip adduction,normal,Right,mean,jointAngle_42,joint angle,,0.040753304268860084,-0.09631570765720084,-0.03837490545496757,0.11653730384239493,-0.06342672140137538,-0.004249456266352468,0.0542815779174307,-0.088437288921864,0.006401523538552775,0.011768070123321045
